folder	name	method	path	auth	body_mode
Get Started	Subscribe to your WABA	POST	https://graph.facebook.com/{{Version}}/{{WABA-ID}}/subscribed_apps	bearer	
Get Started	Get Phone Number ID	GET	https://graph.facebook.com/{{Version}}/{{WABA-ID}}/phone_numbers	bearer	
Get Started	Register Phone Number	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/register	bearer	raw
Get Started	Send Test Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Get Started	Debug Access Token	GET	https://graph.facebook.com/{{Version}}/debug_token?input_token={{User-Access-Token}}	bearer	
WhatsApp Business Accounts (WABAs)	Get WABA	GET	https://graph.facebook.com/{{Version}}/{{WABA-ID}}	bearer	
WhatsApp Business Accounts (WABAs)	Get owned WABAs	GET	https://graph.facebook.com/{{Version}}/{{Business-ID}}/owned_whatsapp_business_accounts	bearer	
WhatsApp Business Accounts (WABAs)	Get shared WABAs	GET	https://graph.facebook.com/{{Version}}/{{Business-ID}}/client_whatsapp_business_accounts	bearer	
Registration	Register Phone	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/register	bearer	raw
Registration	Deregister Phone	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/deregister	bearer	raw
Phone Numbers	Get Phone Numbers	GET	https://graph.facebook.com/{{Version}}/{{WABA-ID}}/phone_numbers	bearer	
Phone Numbers	Get Phone Number By ID	GET	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}	bearer	
Phone Numbers	Get Display Name Status (Beta)	GET	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}?fields=name_status	bearer	
Phone Numbers	Get Phone Numbers with Filtering (beta)	GET	https://graph.facebook.com/{{Version}}/{{WABA-ID}}/phone_numbers?fields=id,is_official_business_account,display_phone_number,verified_name&filtering=[{'field':'account_mode','operator':'EQUAL','value':'SANDBOX'}]	bearer	
Phone Numbers	Request Verification Code	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/request_code	bearer	raw
Phone Numbers	Verify Code	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/verify_code	bearer	raw
Phone Numbers	Set Two-Step Verification Code	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}	bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Text Message	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Text Message with Show Security Notifications	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Message with Reaction	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Media Message with Image	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Media Message with Sticker	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Contact Messages	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Static Location Messages	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Message Triggered by Click to WhatsApp Ads	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Unknown Messages	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Message Status Update Notifications	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Callback from a Quick Reply Button Click	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Status: Message Sent - User Initiated	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Status: Message Sent - Business-Initiated	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Status: Message Sent - Business Reply to User	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Status: Message Delivered - User Initiated	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Status: Message Delivered - Business from User-Initiated	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Status: Message Delivered - Business Delivered from User	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Status: Message Deleted	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Status: Message Failed	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Product Enquiry Message	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Received Order Messages	VIEW		bearer	raw
Webhook Subscriptions / Webhook Payload Reference	Status: Transaction Status - Order Details Message	VIEW		bearer	raw
Webhook Subscriptions	Subscribe to a WABA	POST	https://graph.facebook.com/{{Version}}/{{WABA-ID}}/subscribed_apps	bearer	
Webhook Subscriptions	Get All Subscriptions for a WABA	GET	https://graph.facebook.com/{{Version}}/{{WABA-ID}}/subscribed_apps	bearer	
Webhook Subscriptions	Unsubscribe from a WABA	DELETE	https://graph.facebook.com/{{Version}}/{{WABA-ID}}/subscribed_apps	bearer	
Webhook Subscriptions	Override Callback URL	POST	https://graph.facebook.com/{{Version}}/{{WABA-ID}}/subscribed_apps	bearer	raw
Messages	Send Text Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Text Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Text Message with Preview URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply with Reaction Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Image Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Image Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Image Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Image Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Audio Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Audio Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Audio Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Audio Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Document Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Document Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Document Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Document Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Sticker Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Sticker Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Sticker Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Sticker Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Video Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Video Message by ID	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Video Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Video Message by URL	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Contact Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Contact Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Location Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to Location Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Message Template Text	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Message Template Media	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Message Template Interactive	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send List Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply to List Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Reply Button	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Mark Message As Read	PUT	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
Messages	Send Single Product Message	POST	https://graph.facebook.com/{{Version}}/{{Phone-Number-ID}}/messages	bearer	raw
